time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,261.5,211.1,0,27.44,24.54,5.03,1
20050101:0036,471,164,0,39.93,27.03,4.55,0
20050101:0136,699,142,0,52.51,29.16,3.93,0
20050101:0236,827,153,0,64.89,30.59,3.72,0
20050101:0336,920,147,0,76.01,31.14,3.72,0
20050101:0436,937,148,0,79.58,31.46,3.79,0
20050101:0536,926,122,0,70.75,31.45,3.93,0
20050101:0636,773,148,0,58.74,31.25,4.21,0
20050101:0736,661,112,0,46.2,29.88,5.03,0
20050101:0836,470,100,0,33.64,28.02,5.59,0
20050101:0936,277,73,0,21.28,25.59,5.93,0
20050101:1036,82,46,0,9.3,23.58,5.17,0
20050101:1136,0,0,0,0,22.33,4.28,0
20050101:1236,0,0,0,0,21.74,4.41,0
20050101:1336,0,0,0,0,21.31,4.69,0
20050101:1436,0,0,0,0,20.69,4.9,0
20050101:1536,0,0,0,0,20.09,5.1,0
20050101:1636,0,0,0,0,19.55,5.03,0
20050101:1736,0,0,0,0,19.07,5.1,0
20050101:1836,0,0,0,0,18.8,5.79,0
20050101:1936,0,0,0,0,18.35,5.93,0
20050101:2036,0,0,0,0,18.05,5.72,0
20050101:2136,0,3,0,3.53,18,5.59,0
20050101:2236,0,20,0,15.25,18.34,5.45,0
20050101:2336,0,188,0,27.31,19.28,5.52,0
20050102:0036,279,269,0,39.8,20.51,5.72,0
20050102:0136,684,151,0,52.38,21.77,5.86,0
20050102:0236,660,258,0,64.76,23.53,5.86,0
20050102:0336,768,244,0,75.88,24.59,6.41,0
20050102:0436,955,136,0,79.53,24.96,7.59,0
20050102:0536,909,134,0,70.79,24.74,8.28,0
20050102:0636,819,119,0,58.8,24.23,8.14,0
20050102:0736,662,112,0,46.26,23.71,7.79,0
20050102:0836,453,111,0,33.7,22.78,7.59,0
20050102:0936,258,86,0,21.33,21.51,7.59,0
20050102:1036,84,46,0,9.34,19.91,6.62,0
20050102:1136,0,0,0,0,18.42,6.34,0
20050102:1236,0,0,0,0,17.26,5.93,0
20050102:1336,0,0,0,0,16.38,5.45,0
20050102:1436,0,0,0,0,15.73,4.83,0
20050102:1536,0,0,0,0,15.17,4.28,0
20050102:1636,0,0,0,0,14.78,3.86,0
20050102:1736,0,0,0,0,14.39,3.59,0
20050102:1836,0,0,0,0,13.87,3.38,0
20050102:1936,0,0,0,0,13.51,3.31,0
20050102:2036,0,0,0,0,13.22,3.17,0
20050102:2136,0,3,0,3.4,13.36,2.76,0
20050102:2236,0,20,0,15.11,15.17,2.76,0
20050102:2336,0,56,0,27.18,16.93,3.66,0
