,January,February,March,April,May,June,July,August,September,October,November,December
0,270.19192924562753,308.01817912731383,359.13530287741213,433.9620351435257,338.7534155362668,231.82013932891644,291.48174097112053,301.43959561939573,394.9253000028449,404.7520840582813,346.4608403676367,291.2036417547497
1,278.20312303451567,355.9799621888092,332.22031477943995,425.02228417613276,398.4224788535926,160.5006683805063,184.26454950278026,375.22321516450455,364.0979348357514,384.47205446717305,350.6449195799297,193.1452098616072
2,273.93120213852916,313.80478181964736,364.67677306110636,412.64213097688054,383.15253359348327,300.5460703745249,161.43322292447743,244.45887656178706,433.4351566405058,412.4255781870305,296.0751022865117,326.03558877921387
3,155.2933059688678,359.01908832830907,394.7061114252732,415.3094789101612,387.9216807678747,146.0102975409294,335.8319699531222,257.9211552085925,424.2889151677223,409.02511707647994,128.43598323259837,313.45575844140996
4,281.8059455231944,323.927216089895,384.7729213847282,449.1620410630276,352.30944798934684,182.10735159165012,345.56727691731356,296.11832308284147,305.06595353639284,252.22008497111932,335.40812061948736,350.7301450915072
5,301.0597049462075,379.1693527496427,387.7254132930786,433.37777567327515,389.9565131674591,203.63169721289714,350.2404511193945,330.62924809750155,369.7375356807947,407.51993101044366,267.8427242674281,316.87153480592514
6,298.01573989662097,379.45633900555987,299.43008911197256,432.4058590060525,400.8594282836793,305.91977779866284,344.4279064801049,396.5976283000972,276.01995313165827,399.48124788603275,298.97292574937177,313.6413634636682
7,267.5304476607579,287.1897500687791,413.69618989953597,434.57909285482526,382.12620131830215,223.18144212426446,357.18092232956957,214.44664883745386,207.7826015547961,417.1553453206295,375.6006723984804,334.5022496337497
8,300.5220130262348,341.1424322295292,396.5155782899255,392.9462762022622,352.7656691391376,72.03473052069826,352.5705234552172,353.9039786892348,355.0609356562812,319.3681773282605,353.75710109649594,299.19747024100593
9,256.73569807782854,344.2343412918052,367.04115346418536,413.39952520850085,106.35589823723431,167.39410990432754,351.37790818779615,387.4928038467631,332.75489165897966,405.10736590275803,339.9934378908858,294.61566815609643
10,324.3281069531047,331.8123327576106,390.56920931070965,408.61622979982445,228.32335359712891,347.3504028839868,244.4902377034309,369.90051204318684,281.1483153658363,397.5290252195157,301.8152279852276,249.95974968938543
11,169.09940193947702,365.3681016667203,409.8793741070476,360.478140469912,370.7774042674293,336.5878101189105,311.95455471304354,380.68926090996683,419.382352614167,389.42431402391304,295.19421033889466,269.60821282045754
12,271.24123204843363,219.5132995619138,298.1260768127319,388.08633891811587,331.56176633275584,343.4767335118529,134.30092036991496,401.71291989912805,426.6533926985955,387.0750923179927,351.74495613369675,332.28665496870883
13,381.7375729979256,292.3787000348532,315.89117180116114,435.4985470685614,194.0312015021389,350.0667802483267,35.04593552176762,355.4054531791272,381.67902471354034,287.33355614114635,343.2545489522905,77.11191590934645
14,340.0682189547721,246.02792293607115,310.4290608706984,421.36917776253665,205.75248063326998,339.4170639550499,249.14082345789882,391.72741262066427,422.528828991451,210.85978166598287,350.4487520446179,319.0651863265661
15,313.2168225556263,324.41679429590977,420.80382983526533,419.18657383498004,365.3571332405257,279.32369852128966,283.21382462505096,396.967452024032,403.6364597284796,235.22580718920733,365.9659010436391,318.8118768821549
16,144.65875769302826,342.82749408617184,279.3302980804324,213.52360811970283,317.3024271723474,323.5681688732858,250.80585100931677,399.3222654585272,411.6422597783677,296.9782958300811,338.15488726191404,290.0535566540739
17,264.0937407952064,339.7657677798692,378.8105118733536,323.32048716981745,338.48322548767555,239.14602692428838,152.53621561430285,404.11488491891964,413.60540744951436,393.7360261476381,396.60961608520444,305.0687048870095
18,333.43578648943037,250.52523987737683,297.2092432155698,410.1726102849515,313.99870629928324,294.3870678620415,252.3330803433471,412.870005420087,413.7156418266146,294.65507624518574,367.5359825833296,178.56039106940472
19,292.323808735955,326.9389318477909,280.69673273501974,381.3363497510792,261.89198340552934,220.7495940519325,258.70222483036065,398.008348503437,422.32903531490575,165.3241530091158,337.3626064221269,285.8901941402771
20,293.49714747510984,378.55842585538034,270.37706432593393,427.47712883938823,286.2640708357425,201.64097829283855,272.77077832964056,409.6887756731485,420.3603513518741,348.3108815360196,344.71996301519414,286.5129434626682
21,319.4856358792282,352.84168650020473,319.52480933850507,416.54635933959287,301.1645960390287,288.20518102347717,355.7655315118551,412.7040373504182,416.387987681719,392.1722265626553,339.6321473506906,256.74562457240063
22,376.3746139464194,362.08013066158094,355.08802405582196,366.50895485654416,326.72741476019684,333.6198719554461,195.96234644411084,273.9491426055791,365.2742089064236,387.21684284434775,341.7642392624267,304.60479343331116
23,244.80439079345336,373.8560671504233,320.77819540133703,273.50393491606985,347.66290323784546,296.08390073645063,321.2939799973026,308.28572680956285,424.98046769566764,340.32257753942133,315.69680657159756,322.5785995040239
24,345.86811943279,326.73455338992625,416.6870852433319,286.7140171406069,261.1303867057733,291.5308958993757,247.64955154499467,271.677863575399,217.07397457527003,274.3006040800537,326.7289385360379,295.15102057432654
25,300.2617237890306,295.1675812820912,417.7634233984917,325.36465177261675,323.72395280088534,339.65588530152496,318.41708052551854,269.2316148691185,394.9271739690733,356.57381485938106,347.3037305090746,314.45743795263445
26,308.5003558749868,351.9134822615,367.32610508518786,349.17752881836515,335.4804346754946,333.27397023116686,292.5379684314747,331.3129751482684,402.45311584356875,380.40449754081124,323.4425392895358,291.975329866091
27,341.9592807714028,337.7910758894767,349.75766310258985,299.61795227916156,305.0253523184829,342.5248952722991,372.43703193207205,260.97848712743655,420.0890469617917,396.4434751774172,343.9275356863394,302.79019641680827
28,308.2629444755805,341.4405656234629,321.3390795657258,311.10772134982966,187.9232616015015,173.3271852765319,383.23841670264596,283.7327467207783,421.74480432043504,350.1530461281531,433.75829154959325,324.44512067419475
29,341.65396269136727,319.2811514987586,346.5477531362873,382.44673685323784,307.73151864985033,292.03886047780685,381.3519832309919,342.7647582760634,292.6096298114124,359.657600029135,305.8064772030121,321.0108322219818
30,260.3484947213635,324.81949154591905,317.711933017389,424.7582851523613,363.5937487356825,222.51076607303372,347.41834570959423,367.6876388832802,415.9628924648903,413.8679055016867,257.75845616599406,304.82932320542346
31,283.5977821924424,348.6604802421142,355.2996104534392,352.21200659971424,394.5643509225464,315.04306101079624,352.8774523716465,336.49430669589924,368.2931589303563,404.1458897740049,350.84077105414883,316.09803947679063
32,305.58714012769383,314.9262378349537,370.06486496993017,323.99517093084717,382.0574317535424,337.93490568393463,344.04068297056494,144.18735304364614,322.8942515974028,408.30047321826453,371.023693847586,346.96190659867943
33,266.1576358419344,375.1248819932032,365.25666751285723,373.89151274402104,383.8918627460133,298.98894287374736,323.70791529911025,401.82754819268797,294.55883666896005,420.23350418806,269.7128213201688,325.6462599540064
34,281.54027655999056,316.2867489233472,207.15102965030945,251.54070815490394,372.14151898437984,210.76078937831227,337.3789057427948,397.0622990351562,297.2670904224482,411.2286016735086,364.14410198953755,315.2659181573709
35,300.3851411930028,328.33640012943056,332.3847215078093,248.5882723487955,377.67422390886935,96.99316299079892,355.5579343225751,400.50586810977256,332.2600172899596,400.8911378303637,327.8079816479297,313.52742754648887
36,309.84800723470545,328.3175585079889,352.8851467117707,354.3900921489547,350.444450050582,85.9502644436403,342.0899910196255,390.8844434434647,344.4660741170022,406.74249658887277,207.7773729316712,315.4539342733424
37,286.96745236861295,277.2133451913314,369.32072251898296,333.96034516323266,345.87012967065743,37.08888034790253,244.35791621576095,391.1985346808589,317.29610483278816,324.0251688443484,252.4906511159673,334.41309507910734
38,354.40287813129834,275.7764974051107,342.74729933755077,410.1486438614928,280.1310635189478,208.1999132873561,258.9677130650001,368.0164115309723,417.9988950608793,410.49299380201484,346.2544397310668,287.66648262557953
39,289.2211817073428,334.32585830338905,322.5277033170116,412.84905329383935,123.29955166350038,314.643789524084,226.3611732077325,383.82233924084164,372.20004151891084,330.01919191391465,352.65841683682214,281.5480982084305
40,286.49093717321733,342.161627893781,412.2166011220894,290.5209158213956,296.84095456994174,315.11499780420013,206.21705175458874,397.31837702964356,368.4489865918289,364.34914161685214,349.09040605276675,160.62749710171425
41,287.3053715350369,338.9811609468523,301.95225152935836,385.74136276672556,359.58930065858215,344.285958934306,356.76699696081323,384.7767889249401,422.10097565473967,343.11199771595835,343.44247775920473,242.86388988070706
42,336.06839117138196,363.02473378703985,288.0898502794862,402.3856072011801,295.5017383977324,215.10327757367003,315.0523566614987,338.8150473872651,399.89244639494876,410.31585345207577,332.99879107373243,278.86839740164027
43,293.1719170383728,341.5116157148566,407.43594441632115,389.6176336508952,358.21257001226627,158.01178642547941,365.23672746862707,284.74086754983244,423.260170836248,395.3598583392276,333.7367161451111,348.5716647680422
44,300.5187290863192,351.6576454893528,413.7589232998038,366.34435629369585,325.3388462334385,64.80207504790387,359.58966328973935,306.0994382700501,424.6984786100213,390.023448413681,343.381919228425,294.76688895055577
45,293.14269796848464,338.8298996724143,365.52458755852905,376.7774035423509,349.06820048637303,171.80656481612948,353.7866290125868,228.0660368910824,432.1466180153895,394.9199401086728,341.4558367306292,229.91437980005662
46,294.9411501587899,363.390495975704,253.87290265274925,402.23573507480285,345.17413696271853,143.4439222619688,367.67480899244777,385.0359842281665,375.7758939440402,396.7403667690675,328.2084799493126,309.58187912564233
47,289.8388772911936,354.7945915587927,255.4518617181968,356.48554548988005,100.9146888191031,160.73011127713207,380.7099678922045,222.38498485383067,424.0841588532506,403.34515136536095,328.5469750769877,349.0878227037126
48,295.6567958681632,363.81191316906643,322.88660622952955,388.02466503372796,373.5900709192786,353.1207926399072,367.8410918482799,209.3968232350241,267.30083424120164,399.763575639418,331.45221048784686,326.75776039180516
49,287.7283048030487,354.9073501885221,381.38878892535485,397.7863139285523,362.3082107535108,336.53577086929886,258.6515255132707,162.8153365675529,400.53808535612586,390.76347189578337,332.073767630148,239.0116319918946
50,288.5356671284577,365.4252111581577,333.34056459811495,332.4037852274551,264.5502436038822,342.3386600538973,243.99002010834883,268.3770931316717,397.8279740288774,370.6162796267511,238.00853031066964,299.44730920522113
51,308.6117204790539,259.45704313988966,392.4738147957911,167.07377932483797,376.8987825095066,339.95062657869846,239.58230120331376,246.45703933401398,423.207595352724,363.6026650111165,286.55321821797656,219.98740092780432
52,295.6530592591222,263.41849628450757,407.2425450743495,129.33593971171564,371.0102887730166,246.63938798877584,350.66575256330293,221.6596056429416,411.23001991602587,378.595615760326,227.99466997407617,323.8130245060829
53,286.4701352498312,288.91900230977797,397.2024760950215,163.8271507318635,360.06037400981086,210.29209309908174,303.84531508232726,280.571734043899,421.51775016832215,307.8389521000257,322.2023028066244,315.36000460728167
54,293.8991230704178,309.7225775810341,248.01960065307085,373.03457300757054,357.72719681562785,85.81690665080795,345.2714795959418,321.9207795350385,373.31630645032567,266.54842743869443,302.25538263211166,292.6026171642278
55,306.1333270586489,270.1706314655847,294.869755980933,200.1072434239374,357.77673330188463,242.14900056936932,361.75860081994387,404.08512835994804,413.826034602734,360.3756006700668,165.44144873448678,362.4801483339814
56,330.39421585808986,312.14135725208405,303.2311561351427,285.5518220620609,355.26770457637895,84.4843025470488,274.54511292506754,408.7356455360946,410.2078772969184,324.23824265741,304.3444872649101,210.34866936247144
57,312.4582530890593,254.3741428659668,423.907968433385,371.92681699641867,335.92826513663806,334.4856597194884,381.3956774993118,409.28017953942623,431.65855220664434,327.1051265330122,321.9056050414763,285.0722651140388
58,357.49153913948106,103.51804676218418,121.27985214707145,353.29898829080605,341.09086599540905,347.54186924937994,349.08648232998866,389.1627599033,416.6175963228231,372.83173264807976,342.1789614279856,281.78048749143
59,311.37757150290184,321.808450644196,436.9805196610198,412.48609287368737,352.0833573501682,182.83714311795518,380.1854042821992,392.5081442832267,424.1740123351272,370.2953305293558,238.5975889278239,284.5005977239026
60,316.1504028712245,314.53033112578754,433.4374570417202,425.713573591095,359.8613193243676,163.39649021001216,369.78645406491,417.74311866727726,421.8552935726938,368.7150170109141,329.7708922204964,284.1761339522985
61,287.9605015155471,304.0192827460934,402.053029864235,445.9505485028413,183.13405569578842,121.03396628252065,351.42338279261185,257.10784360631305,272.3369752863685,417.14718740177614,313.2739026838795,358.17992543070807
62,321.7710758313324,276.7069392216888,328.58729747449604,416.34494416062535,377.01319513877786,68.34939380483037,352.7395472656124,398.9458853434384,336.96498718633325,403.1154150600863,272.92265004148777,302.84289710659834
63,323.2170896966385,277.73037401391764,394.423326819602,421.15990909509844,401.44021405659004,136.8733946730033,342.8173282502552,387.70603021012585,74.38512891649972,353.3140362380748,365.44565576673745,303.81276243481847
64,307.02193559558674,322.63814940435793,382.58936740144304,322.9176135006916,395.5650274313271,205.44422632036424,210.1045594191125,306.1659684818066,120.5369325034947,234.28457766466187,387.95704510841404,313.75669253192336
65,232.11754141783805,354.0183356970542,342.26510767555703,343.1736556495438,390.25957500483855,315.7967466227601,262.6714089039258,359.22573758002284,410.5381963057803,187.3919669933365,420.2363957415199,304.02531506094675
66,307.86235218309866,307.5566629399548,391.60616706621795,306.9458332328201,365.1776934975985,151.8065531946489,323.88618586730036,273.58523647022594,363.42128289061026,329.1135402261424,178.8140126148489,306.8853582606313
67,297.21336540821596,297.6475579075842,357.6537661593442,314.06264611566485,377.0321210573194,196.0614566580971,304.5209974485713,319.545128338974,440.14148322541257,415.62796642470204,338.77244930317335,300.98383266299595
68,350.0194456216413,357.08384462388534,394.80963677837406,388.9688625245726,388.59853215533474,228.0293494646327,307.0310729860138,332.79670268426605,349.8940098674798,414.50460681211706,362.2567839012403,312.19862571599583
69,323.3598800138743,359.6258556914751,397.96242179065837,412.4307970248974,374.2257597770972,225.77122566885936,324.107728146387,381.0451904928598,437.2274809674592,396.01505616571404,359.23053940503735,301.2297346007136
70,309.50677266729406,332.99871070992305,405.7707076517531,397.61123874848437,368.57313640585875,328.2388535544619,325.2514263720699,338.5122315632041,419.6832161574413,408.3921719882997,346.33955245603033,300.72268249419534
71,284.96287952431845,347.4994106126195,399.26637013991655,332.7609353324443,239.5585162146478,317.7562599896469,369.155629517333,419.9112961876624,409.3284279507707,374.3733196112333,356.3471458938012,187.5836954638545
72,302.6206312011191,317.81049003732227,401.0353922807713,285.80139153656137,289.2681269697432,286.2000824824392,360.05058529953294,414.25577876131194,320.57077954657916,360.2925214591788,323.17144852673084,104.19027330847331
73,275.07538503797923,325.23805976389315,381.601998259391,252.05028962063278,330.248004621498,244.5079432857179,323.9182405572222,416.44472114081964,421.72448279231577,322.65295119578104,270.0004574078688,301.0713051173679
74,231.8990703176299,370.93935330652306,406.64563888263,271.6195781935932,338.59713938249166,227.4008134031407,301.6641375524512,417.041889989067,448.01227247836835,242.47709269901486,229.38967633036717,328.50299493672935
75,360.7593116596723,302.1367464307611,407.7655801561548,217.52740113690433,340.0847719596437,187.56396853116985,347.47778206460697,415.3267327506253,261.1061579094849,254.28075331393927,263.9209163115217,337.2456404219772
76,324.21686259134515,373.34628959984383,395.90240667134844,208.0190653940065,307.9270030105438,255.0885707514795,347.94027565931196,362.7274832763415,425.28418208185565,408.93091661863616,367.9006794080345,291.625227909268
77,246.7123231183046,379.2754242599632,373.43742932192845,337.86488095991297,345.40295249121993,295.4773253273924,339.47770925119073,424.22523519493745,417.4858632456859,394.4106632778362,285.8138110380738,325.870408377499
