,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,213.6237417321169,75.01579689692588,231.15105711258764,3.4787742817549465
1,February,181.3796280435027,66.80931710288759,193.06024891982025,3.24838015706428
2,March,123.75534066393921,48.90879405634152,124.0127109451189,2.2705337630310307
3,April,58.22238935668914,23.49130087310359,55.75224175853739,1.1086230315493573
4,May,19.875001603973494,8.072489454628766,17.60647267540584,0.37475591480199344
5,June,10.313310337425435,2.376470510303969,10.842450530045483,0.11215257749039075
6,July,20.897703793992047,7.312031524656963,19.028120355999363,0.33945254168310973
7,August,50.05323439545409,14.141003715735076,48.87499364704459,0.6564796167890931
8,September,91.83591398217908,26.294477574793977,94.29891799699341,1.2409131192624072
9,October,132.65127622758794,40.34182167440454,138.76629421577314,1.872822054626718
10,November,168.83084083061317,59.81695943285806,187.26195753483853,2.8229368506555077
11,December,203.56418441040526,71.66979162576412,221.6777622839598,3.327186548256277
