,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,245.47949922933486,85.73220762064717,262.57546485572135,3.9757359293080405
1,February,204.12861269223023,67.58192995153154,214.33489448342937,3.285945879263817
2,March,166.6641712452316,55.03972036068812,179.08933227098237,2.5551548713870873
3,April,125.83524370475065,38.72222344827052,131.37972195350434,1.8274147089361135
4,May,80.20923836520718,24.196339554044037,79.35017171516549,1.1232868640337461
5,June,41.19930307333279,11.327959673137734,43.94677053745772,0.5345994699034154
6,July,49.00920119080847,12.683286019515778,47.86205005264654,0.5888067716475641
7,August,104.39395418928578,31.02285271160771,101.79341933105269,1.4401997813747163
8,September,195.90563662796072,58.62366571311231,201.62041756812826,2.7666218382064516
9,October,264.4208095091836,76.3901176806629,283.5571257556321,3.5463221840238717
10,November,292.07057494787864,88.15100034638634,315.6265626717983,4.160102914948022
11,December,281.1362977814843,90.14107041867254,300.7441709535676,4.184694138759211
