,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,163.65299948622322,57.154805080431444,175.05030990381425,2.6504906195386937
1,February,136.08574179482014,45.05461996768769,142.88992965561954,2.1906305861758786
2,March,111.10944749682106,36.69314690712542,119.39288818065492,1.7034365809247247
3,April,83.89016246983377,25.81481563218035,87.58648130233624,1.2182764726240758
4,May,53.47282557680479,16.13089303602936,52.900114476776984,0.7488579093558307
5,June,27.46620204888853,7.551973115425157,29.297847024971823,0.356399646602277
6,July,32.67280079387231,8.45552401301052,31.90803336843102,0.3925378477650428
7,August,69.59596945952384,20.681901807738477,67.86227955403513,0.9601331875831443
8,September,130.6037577519738,39.082443808741544,134.41361171208553,1.8444145588043013
9,October,176.28053967278908,50.926745120441936,189.0380838370881,2.364214789349248
10,November,194.71371663191908,58.767333564257555,210.4177084478656,2.773401943298681
11,December,187.4241985209895,60.09404694578169,200.4961139690451,2.7897960925061405
