,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,318.4520266271807,49.23779168804996,319.8021764582827,2.283347914708548
1,February,355.4481632720382,47.69995426318169,362.500075876687,2.3192511410163186
2,March,363.79586508728346,59.93095688246998,384.37443658494,2.782224826391144
3,April,322.14079569077364,78.29349352028747,340.8037538715557,3.694898405410598
4,May,256.7566286059488,68.0638927237323,260.6172491204528,3.1597868942450122
5,June,231.17183787434442,57.768522039051064,239.0136394446355,2.7262651130736395
6,July,247.80362299769413,65.38826545056787,258.02654933775807,3.0355740164135097
7,August,295.93264241742753,73.81086125658145,306.84936192574776,3.426583210545087
8,September,348.94331968150067,71.92990882453041,364.37114987062154,3.3945822758339386
9,October,361.63656291344586,62.03644873044713,382.88151913319984,2.87996983157593
10,November,338.20056446836395,51.0564202157964,346.12207729948483,2.4095014433407145
11,December,316.0895405778924,45.8530327514854,310.676981656391,2.1286736058076294
