,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,197.5548457076599,50.76206202322542,221.46647266769557,2.354034258915973
1,February,173.51892426678432,43.86194512900594,185.35640395434604,2.1326407511078562
2,March,117.5052538346911,39.39437969530527,118.2244625240064,1.8288381649487244
3,April,53.45416942097717,22.196427218558533,51.2017148001639,1.0475141655853295
4,May,19.14736381578832,7.206385285368229,18.238161514667905,0.33454803815014594
5,June,10.285079547342729,2.389386231449301,10.653446159800614,0.11276210805696649
6,July,18.801960670517616,6.880978803688659,17.995075184068746,0.31944142148502286
7,August,40.58307911118651,14.577736811672015,40.19082277821447,0.6767544417748732
8,September,74.52923793750284,24.835418012230928,76.85124992987568,1.1720558412343633
9,October,115.66705198615564,38.06072683024031,121.90397231131072,1.7669248850014667
10,November,148.44802273304367,49.35952429256227,158.30757185727452,2.3294199734893164
11,December,181.46670217390997,53.83909598722799,196.71651654990376,2.4994172841237647
