,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,212.30135108478717,32.82519445869997,213.20145097218852,1.5222319431390319
1,February,236.96544218135884,31.79996950878779,241.66671725112468,1.5461674273442123
2,March,242.53057672485562,39.95397125497999,256.24962438996,1.8548165509274297
3,April,214.76053046051575,52.195662346858306,227.20250258103715,2.463265603607065
4,May,171.1710857372992,45.3759284824882,173.7448327469685,2.1065245961633416
5,June,154.11455858289628,38.51234802603404,159.34242629642364,1.8175100753824263
6,July,165.2024153317961,43.59217696704525,172.01769955850534,2.0237160109423398
7,August,197.28842827828498,49.20724083772097,204.56624128383183,2.284388807030058
8,September,232.62887978766713,47.953272549686936,242.9140999137477,2.2630548505559585
9,October,241.09104194229724,41.35763248696475,255.2543460887999,1.9199798877172864
10,November,225.4670429789093,34.0376134771976,230.7480515329899,1.6063342955604765
11,December,210.7263603852616,30.568688500990262,207.1179877709273,1.419115737205086
