,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,233.25782724810284,69.18974597611769,246.6849517395809,3.2085976396891365
1,February,182.9972339467569,52.2457497326518,190.11961842070326,2.540275280184794
2,March,124.37600685643316,39.74556168946622,126.1340720636808,1.8451413797405767
3,April,65.20851129382223,24.000531551170717,63.906117712890435,1.1326551130899367
4,May,24.787083580126808,9.215294706982942,23.07621715278823,0.4278093167535984
5,June,9.465664267589128,2.1720082460581707,9.477671645092512,0.10250340665689506
6,July,11.148853950765215,3.8568007112096723,10.317046652372312,0.17904747808739357
7,August,39.76674615062754,19.102291438768056,34.679122806744246,0.8868016171696592
8,September,118.6030851354105,43.389444706644674,115.33669196997596,2.047674498222392
9,October,209.57197287810612,64.74513576157915,218.43636112480996,3.0057174701413936
10,November,259.46751262767305,76.16990231211629,280.72378781298744,3.5946799400437097
11,December,270.7879775575002,70.74537187182214,283.60320386568367,3.2842714385498266
