,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,155.50521816540189,46.1264973174118,164.45663449305397,2.1390650931260913
1,February,121.99815596450462,34.830499821767866,126.74641228046886,1.693516853456529
2,March,82.91733790428877,26.497041126310812,84.08938137578721,1.2300942531603845
3,April,43.47234086254815,16.000354367447144,42.60407847526029,0.7551034087266245
4,May,16.524722386751208,6.143529804655294,15.384144768525486,0.2852062111690656
5,June,6.310442845059418,1.448005497372114,6.3184477633950085,0.06833560443793005
6,July,7.432569300510142,2.5712004741397814,6.878031101581541,0.11936498539159571
7,August,26.511164100418355,12.734860959178706,23.119415204496157,0.5912010781131062
8,September,79.068723423607,28.92629647109645,76.89112797998396,1.3651163321482611
9,October,139.71464858540406,43.16342384105277,145.6242407498733,2.0038116467609295
10,November,172.97834175178204,50.77993487474419,187.149191875325,2.396453293362473
11,December,180.52531837166683,47.16358124788143,189.06880257712248,2.1895142923665514
