,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,1117.8933728080256,163.0096380388092,1073.759618437021,8.81455171355561
1,February,1276.2378367377614,110.85840544630042,1283.326799783916,6.2862034555488355
2,March,1404.4193959760646,144.0577075521581,1444.2319252240275,7.801162238619592
3,April,1288.8354987730502,238.16072758750687,1383.9711779146814,13.110316567498753
4,May,1115.3648286666137,230.03149089942386,1167.025413525881,12.456903632512848
5,June,1016.0505361639,230.84067715307484,1064.5775484379465,12.707361053138396
6,July,1052.7334563798988,222.94357453729575,1097.8154979544117,12.073071441828377
7,August,1254.3700167737916,191.12421630318025,1299.1921937567474,10.3499565864624
8,September,1416.1185422889362,162.58372575014428,1472.4815706877744,8.949939542507524
9,October,1431.3423636056582,114.94504216789531,1459.4109414311263,6.224623018883298
10,November,1311.855585374892,144.02352258198678,1311.987860882022,7.928233984431279
11,December,1157.5030358667598,170.06258377551904,1103.467526236476,9.209405239711419
