,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,951.4047530699851,216.4819194114955,1049.3277075669143,11.70600153868267
1,February,849.7051468165625,185.86058646971352,891.5224523049385,10.539186958468353
2,March,535.311974810203,193.08607466310568,538.848323781163,10.456197173065023
3,April,213.20567749466494,105.50661786906892,196.30121492481481,5.807948162743914
4,May,72.01968720378783,40.00613792679591,62.9759027693676,2.166453831666933
5,June,35.76751835974415,19.654885048390902,32.67636464867857,1.081965812300113
6,July,57.79255607357033,32.55420652491611,53.40285598044222,1.7629091213911559
7,August,117.33750581817628,82.10169663664443,104.46759348078177,4.446056142442041
8,September,243.00237056909805,121.0317258076313,240.81214513004238,6.662577227245554
9,October,459.16774338702237,156.48565183241323,473.84807566451497,8.474173153968858
10,November,682.1793325350845,197.55890280838784,726.4409570305127,10.87525967350777
11,December,914.672991377613,189.5037757812285,981.936017736937,10.262204812367273
