,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,634.2698353799901,144.32127960766368,699.5518050446094,7.804001025788447
1,February,566.4700978777084,123.90705764647566,594.3483015366256,7.0261246389789
2,March,356.8746498734687,128.72404977540376,359.23221585410863,6.97079811537668
3,April,142.13711832977663,70.33774524604594,130.86747661654317,3.8719654418292757
4,May,48.01312480252522,26.670758617863935,41.9839351795784,1.4443025544446215
5,June,23.845012239829437,13.103256698927272,21.784243099119053,0.7213105415334088
6,July,38.528370715713564,21.702804349944074,35.60190398696148,1.1752727475941038
7,August,78.2250038787842,54.734464424429625,69.64506232052118,2.964037428294694
8,September,162.00158037939872,80.68781720508753,160.5414300866949,4.441718151497035
9,October,306.11182892468156,104.32376788827548,315.8987171096766,5.6494487693125715
10,November,454.7862216900564,131.70593520559189,484.29397135367515,7.2501731156718465
11,December,609.781994251742,126.335850520819,654.6240118246246,6.841469874911514
