,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,745.2622485386837,108.67309202587279,715.8397456246806,5.876367809037074
1,February,850.8252244918409,73.90560363086695,855.5511998559439,4.190802303699224
2,March,936.2795973173762,96.03847170143874,962.8212834826847,5.200774825746395
3,April,859.2236658487,158.77381839167126,922.647451943121,8.74021104499917
4,May,743.576552444409,153.35432726628258,778.0169423505876,8.304602421675233
5,June,677.3670241092667,153.89378476871656,709.7183656252976,8.471574035425597
6,July,701.822304253266,148.6290496915305,731.8769986362744,8.048714294552251
7,August,836.2466778491944,127.41614420212017,866.128129171165,6.8999710576416
8,September,944.0790281926243,108.38915050009618,981.6543804585162,5.966626361671683
9,October,954.228242403772,76.63002811193022,972.9406276207508,4.1497486792555325
10,November,874.5703902499281,96.01568172132451,874.6585739213477,5.285489322954186
11,December,771.6686905778398,113.37505585034603,735.645017490984,6.139603493140946
