,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,1035.6064262531754,449.28938632754694,1238.318972114113,24.29478758300762
1,February,884.134290652402,367.90423164649724,1015.9283481033962,20.86193503304111
2,March,737.4024331483126,318.7025529736183,828.3822442739129,17.258710858697164
3,April,473.53002217208336,250.89295793777976,468.4191388083197,13.81120278074338
4,May,300.7692083019201,155.1081600109114,286.6011538949663,8.399577789621437
5,June,179.1488257272574,71.78768248910387,187.7880181824332,3.9517818601449752
6,July,171.53787915903655,71.69245841557773,169.16851046705872,3.8823642892062105
7,August,318.4965779565244,183.94859654680909,297.2152382487928,9.961374990702744
8,September,564.26688601386,315.6362057270278,517.4382251005112,17.375201273371353
9,October,879.0017519722725,403.8323076433246,914.8971682878674,21.86874553713887
10,November,1084.3358312288997,403.974600644525,1160.5295713220503,22.238069867050708
11,December,1126.0868446874733,428.91558457849527,1245.1830331397318,23.227081138700786
