,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,690.4042841687836,299.526257551698,825.5459814094087,16.196525055338416
1,February,589.4228604349347,245.26948776433147,677.2855654022642,13.907956688694073
2,March,491.60162209887505,212.46836864907885,552.2548295159419,11.505807239131443
3,April,315.68668144805565,167.26197195851984,312.2794258722132,9.207468520495588
4,May,200.51280553461342,103.40544000727428,191.0674359299775,5.599718526414292
5,June,119.43255048483826,47.8584549927359,125.19201212162213,2.6345212400966496
6,July,114.35858610602438,47.79497227705182,112.7790069780391,2.5882428594708067
7,August,212.33105197101628,122.63239769787273,198.1434921658619,6.640916660468496
8,September,376.17792400924003,210.42413715135189,344.9588167336742,11.583467515580903
9,October,586.0011679815151,269.22153842888304,609.9314455252451,14.579163691425912
10,November,722.8905541526,269.31640042968337,773.6863808813669,14.82537991136714
11,December,750.7245631249822,285.9437230523302,830.1220220931546,15.48472075913386
