,Date,Energy Output
0,2016-11-24,0
1,2009-01-25,0
2,2008-04-19,0
3,2019-07-17,0
4,2012-12-19,0
5,2014-10-18,0
6,2018-07-21,0
7,2011-09-18,0
8,2012-05-19,0
9,2015-07-25,0
10,2016-04-16,0
11,2007-07-15,0
12,2020-05-21,0
13,2008-08-05,0
14,2007-10-21,0
15,2008-03-12,0
16,2020-07-21,0
17,2020-11-23,0
18,2018-04-27,0
19,2012-10-14,0
20,2014-06-16,0
21,2019-09-20,0
22,2013-02-17,0
23,2009-04-09,0
24,2012-08-17,0
25,2009-05-20,0
26,2006-10-30,0
27,2007-09-06,0
28,2020-10-02,0
29,2011-12-31,0
30,2019-03-18,0
31,2010-08-18,0
32,2016-10-05,0
33,2007-01-20,0
34,2007-04-26,0
35,2007-08-14,0
36,2006-05-07,0
37,2020-12-14,0
38,2009-08-11,0
39,2017-09-30,0
40,2012-01-12,0
41,2010-06-10,0
42,2007-05-24,0
43,2014-02-27,0
44,2008-09-19,0
45,2019-09-09,0
46,2009-04-17,0
47,2020-09-13,0
48,2014-05-18,0
49,2016-12-28,0
50,2017-02-24,0
51,2015-09-16,0
52,2012-10-16,0
53,2009-07-13,0
54,2015-11-02,0
55,2016-11-03,0
56,2009-03-15,0
57,2018-04-28,0
58,2012-09-11,0
59,2008-09-11,0
60,2017-03-18,0
61,2008-05-02,0
62,2015-08-25,0
63,2015-11-10,0
64,2007-03-21,0
65,2012-09-20,0
66,2019-03-08,0
67,2006-06-14,0
68,2010-01-03,0
69,2009-09-22,0
70,2009-08-06,0
71,2006-08-02,0
72,2008-07-07,0
73,2006-11-23,0
74,2011-04-17,0
75,2012-03-13,0
76,2013-12-26,0
77,2020-08-18,0
78,2013-10-12,0
79,2013-09-30,0
80,2010-12-16,0
81,2009-08-12,0
82,2007-09-03,0
83,2006-10-26,0
84,2007-08-16,0
85,2014-05-03,0
86,2007-02-17,0
87,2014-01-16,0
88,2013-05-05,0
89,2007-10-10,0
90,2009-05-10,0
91,2018-09-07,0
92,2019-01-24,0
93,2018-08-15,0
94,2012-01-18,0
95,2010-04-14,0
96,2008-02-21,0
97,2011-09-22,0
98,2019-02-20,0
99,2015-05-15,0
100,2015-11-14,0
101,2010-10-21,0
102,2009-09-18,0
103,2007-05-27,0
104,2020-01-18,0
105,2011-11-17,0
106,2015-01-04,0
107,2018-04-11,0
108,2017-09-05,0
109,2008-01-10,0
110,2019-03-12,0
111,2015-03-03,0
112,2018-11-27,0
113,2020-07-30,0
114,2010-01-22,0
115,2013-05-21,0
116,2019-05-12,0
117,2019-02-06,0
118,2012-04-16,0
119,2018-07-13,0
120,2015-01-26,0
121,2016-02-20,0
122,2007-11-20,0
123,2007-12-02,0
124,2008-07-17,0
125,2008-05-24,0
126,2019-11-25,0
127,2011-12-08,0
128,2015-07-17,0
129,2009-11-23,0
130,2019-01-23,0
131,2011-04-22,0
132,2016-09-25,0
133,2010-01-11,0
134,2008-10-10,0
135,2018-06-30,0
136,2018-11-13,0
137,2011-03-10,0
138,2012-12-10,0
139,2017-04-26,0
140,2006-10-03,0
141,2011-02-12,0
142,2020-08-05,0
143,2020-12-15,0
144,2014-01-24,0
145,2013-06-19,0
146,2016-10-01,0
147,2014-02-10,0
148,2013-07-24,0
149,2019-12-01,0
150,2008-08-26,0
151,2016-10-24,0
152,2006-05-18,0
153,2010-05-30,0
154,2013-05-22,0
155,2007-05-17,0
156,2020-09-21,0
157,2014-03-16,0
158,2010-05-27,0
159,2020-06-05,0
160,2016-08-22,0
161,2009-04-02,0
162,2019-09-14,0
163,2014-06-15,0
164,2007-01-31,0
165,2008-03-05,0
166,2010-05-12,0
167,2009-06-26,0
168,2013-07-13,0
169,2008-06-16,0
170,2008-10-13,0
171,2006-04-28,0
172,2011-01-28,0
173,2018-05-29,0
174,2017-10-29,0
175,2019-02-11,0
176,2013-09-18,0
177,2018-03-13,0
178,2009-02-26,0
179,2007-02-08,0
180,2012-11-03,0
181,2017-12-02,0
182,2015-03-14,0
183,2020-04-03,0
184,2011-09-14,0
185,2018-10-17,0
186,2009-04-28,0
187,2013-01-10,0
188,2019-09-23,0
189,2011-07-07,0
190,2013-07-09,0
191,2008-10-01,0
192,2016-01-16,0
193,2010-09-20,0
194,2014-05-27,0
195,2018-03-18,0
196,2008-04-28,0
197,2017-05-18,0
198,2017-05-27,0
199,2014-04-25,0
200,2013-04-15,0
201,2019-11-22,0
202,2020-04-11,0
203,2010-10-20,0
204,2010-08-17,0
205,2012-10-12,0
206,2014-07-30,0
207,2011-05-11,0
208,2018-05-10,0
209,2006-04-29,0
210,2014-02-14,0
211,2010-03-14,0
212,2018-09-28,0
213,2008-08-07,0
214,2019-05-23,0
215,2015-01-16,0
216,2018-05-18,0
217,2011-07-15,0
218,2008-07-14,0
219,2016-03-18,0
220,2019-10-21,0
221,2017-05-05,0
222,2017-06-04,0
223,2010-06-26,0
224,2018-11-11,0
225,2018-07-27,0
226,2011-04-19,0
227,2018-05-25,0
228,2011-05-06,0
229,2016-09-01,0
230,2019-02-12,0
231,2008-01-29,0
232,2010-12-04,0
233,2010-12-17,0
234,2011-08-31,0
