time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20041231:2336,375.4,144.35,0,27.87,21.36,3.93,1
20050101:0036,437,186,0,40.3,24.65,3.72,0
20050101:0136,675,159,0,52.82,27.62,3.17,0
20050101:0236,829,152,0,65.09,29.8,2.9,0
20050101:0336,904,157,0,75.94,30.67,2.97,0
20050101:0436,884,182,0,79.02,31.37,3.1,0
20050101:0536,824,188,0,70.23,31.76,3.24,0
20050101:0636,685,203,0,58.31,31.77,3.17,0
20050101:0736,600,149,0,45.85,31.51,3.03,0
20050101:0836,452,110,0,33.35,31.2,2.69,0
20050101:0936,277,72,0,21.06,29.91,2.62,0
20050101:1036,56,59,0,9.14,27.96,2.62,0
20050101:1136,0,0,0,0,25.68,2.69,0
20050101:1236,0,0,0,0,23.9,2.62,0
20050101:1336,0,0,0,0,22.5,2.69,0
20050101:1436,0,0,0,0,21.1,2.83,0
20050101:1536,0,0,0,0,19.65,3.03,0
20050101:1636,0,0,0,0,18.46,2.69,0
20050101:1736,0,0,0,0,17.38,2.76,0
20050101:1836,0,0,0,0,16.84,3.38,0
20050101:1936,0,0,0,0,16.31,3.03,0
20050101:2036,0,0,0,0,15.88,3.31,0
20050101:2136,0,3,0,4.05,15.84,2.76,0
20050101:2236,0,21,0,15.72,16.05,2.83,0
20050101:2336,165,295,0,27.74,16.84,4.07,0
20050102:0036,21,293,0,40.17,18.48,4.34,0
20050102:0136,647,176,0,52.69,20.49,4.21,0
20050102:0236,720,221,0,64.96,22.79,4.14,0
20050102:0336,835,202,0,75.81,24.22,4.28,0
20050102:0436,816,225,0,78.97,24.96,4.97,0
20050102:0536,792,208,0,70.26,23.69,5.45,0
20050102:0636,700,194,0,58.37,22.25,5.38,0
20050102:0736,565,172,0,45.9,21.31,4.97,0
20050102:0836,410,137,0,33.41,20.21,4.83,0
20050102:0936,224,105,0,21.1,18.67,4.9,0
20050102:1036,87,43,0,9.18,16.78,4.55,0
20050102:1136,0,0,0,0,15.33,3.59,0
20050102:1236,0,0,0,0,14.38,3.52,0
20050102:1336,0,0,0,0,13.66,3.17,0
20050102:1436,0,0,0,0,13.27,2.83,0
20050102:1536,0,0,0,0,12.71,2.34,0
20050102:1636,0,0,0,0,12.15,2.07,0
20050102:1736,0,0,0,0,11.66,1.93,0
20050102:1836,0,0,0,0,11,1.86,0
20050102:1936,0,0,0,0,10.62,1.72,0
20050102:2036,0,0,0,0,10.27,1.59,0
20050102:2136,0,3,0,3.91,10.26,1.24,0
20050102:2236,0,21,0,15.59,13.04,1.31,0
20050102:2336,26,283,0,27.61,15.38,2.76,0
