,January,February,March,April,May,June,July,August,September,October,November,December
0,303.6799345369268,385.41119480204657,395.67788413968003,237.78764970429927,371.65300452986446,277.5520397206983,60.32972637084552,324.7228075042419,393.41646977024516,425.55250737973233,305.60250248154637,340.02194069743257
1,391.44594233541955,422.9379144032804,392.4696319178263,316.75083597087115,200.31064758621042,224.38002193724077,230.9111533694886,204.93243309111804,285.97462379391595,424.35823565737576,375.6567279415794,338.4280227432226
2,350.4496108508501,407.3455877564923,402.0202369847739,268.66754731750245,175.79439490164148,280.7682567715211,258.4724911646167,314.50128761286226,322.5214459059024,420.46793835354134,377.8342707222681,309.8407970215404
3,305.827951842774,360.0038717872411,397.0772606473345,174.10742087556181,184.3457796973632,271.1894903910335,271.5996194086031,341.3089625976077,411.8269751304007,338.6879864641975,378.2379773993009,305.9119927342555
4,324.4889227781155,313.8261799197122,372.06907411929103,323.3264723793905,319.1691319558496,299.79325287404413,245.11701932596645,243.3989527681083,160.69087036794502,424.0827790999243,324.5924705026097,326.58661838603285
5,301.1931976964451,393.66666175416515,404.6067566663879,298.59978988718217,346.342085699672,274.1492522672278,170.95697791846402,372.2441861777724,217.18337895833935,400.314282466249,395.2150939295086,313.5724603388892
6,299.39565600271857,362.00438698710934,413.1585943450186,257.13137596241705,195.88276048113505,262.21424404387744,208.4854723678938,373.73702575502847,308.9272176825286,401.7829950037294,355.9485120387494,300.8457561654556
7,118.5174287962549,357.1408325017121,409.20304158065744,229.02967916430265,164.5658702263219,285.4563029685827,307.0985662813635,268.07096414102944,380.9449586270767,369.8642398633698,363.6717603381386,294.3847092178056
8,308.87202791910045,330.1682069836105,412.3386910325137,372.97060396505753,261.9472952656198,288.83738591089593,311.2120532668978,290.76563998214823,255.4317896529137,417.063593693037,353.3166236705939,300.04531257116844
9,266.8481666039263,366.355500052323,410.84700329417325,415.491359511815,292.989711393355,213.68721726720335,265.80779082126855,255.11606781904788,421.7452921303789,413.29485948816875,347.5987369607569,342.33475916412624
10,313.7557633118029,373.1232458656417,415.819610122157,402.2715338963628,278.085729092685,177.76056565103636,254.53137058018075,301.24542298175686,426.7635152422912,406.5998144812058,394.18540204234324,314.1163237775809
11,315.12210016439093,406.90128425917305,352.0338745917122,348.3991510566119,219.12127998878668,242.1059907474829,206.44180043706783,382.55642464957543,432.38046031890656,397.1200195031909,281.2156681089884,351.65531922679105
12,309.28842983960897,359.069925615076,402.01838253723196,379.3126125750767,79.63134816132217,250.0853004641108,298.00120676030167,301.025565114755,382.6458546869777,353.8833250565802,426.1117978454797,291.08637363639036
13,335.34859242932896,395.21190703279603,419.93086960955463,319.0135759652531,174.9814755392003,212.45421265159163,61.88421380249501,354.5035529332435,416.74384855544474,297.31737440327043,390.26739922484046,325.08595362142455
14,383.7749182704859,364.24046908258083,379.5322864370238,364.85449053434377,339.715615978163,153.86693049424204,119.93515174620782,398.1704112691222,404.1059814326111,411.3896356574436,332.79218048180485,304.7485603788817
15,317.7787693080833,368.0629152193597,398.80939704497774,417.07122444278025,304.25309615608995,184.07175945637601,114.74528833722839,334.47841603802397,351.49043765857147,404.4616947105159,337.81082804215663,298.2145039210432
16,320.7097971012512,391.8594522086064,321.90995150597854,369.6017191573758,278.5259055581821,275.5317199983357,254.92181721242088,302.1042051668336,305.2573323144338,400.6192129257606,416.6739443866584,301.9055114120721
17,321.23866022175287,351.8524319020171,421.19463479224555,385.04203044806206,329.41627452848866,256.5837440854221,298.5910927225623,320.7296803507205,420.7960963513559,386.92931401742163,369.42416944998524,371.60367922784803
18,303.87709044053935,395.29619642907244,430.1192441610732,123.8879827133461,234.60246287889257,312.08447212469684,321.7312764281339,391.24754004878565,319.2793678067695,294.4517682423892,353.72782098947096,288.2856291341665
19,302.9025327191745,400.6330358142746,413.42023778445304,341.8306339937419,215.75912194123623,274.4912871400619,333.8111257567828,397.1992724936471,402.4222422556877,393.08530363655314,374.23439949157296,290.712934221829
