,Unnamed: 0,Site No,Site Name,EDI Number,Street Name,Town,State,Post Code,Telephone,Date opened,Address,Location,Point,latitude,longitude
0,0,199,Supers Hoxton Park DC,930063301995,40 Blackbird Close,Hoxton Park,New South Wales,2171,#,28.07.2020,"40 Blackbird Close, Hoxton Park, New South Wales 2171 Australia","40 Blackbird Cl, Len Waters Estate, New South Wales, 2171","(-33.91233895621837, 150.85125830529785, 0.0)",-33.91233895621837,150.85125830529785
1,1,1809,Junee Lamb Operations,9300633018092,25 Bessemer Street,Blacktown,New South Wales,2148,02 8822 8456,18.04.2000,"25 Bessemer Street, Blacktown, New South Wales 2148 Australia","25 Bessemer St, Blacktown, Sydney, New South Wales, 2148","(-33.75273205514659, 150.9056306215495, 0.0)",-33.75273205514659,150.9056306215495
2,2,1872,Thomas Dux Produce Virtual DC,9300633018726,Sydney Markets K Shed,Homebush,New South Wales,2000,#,#,"Sydney Markets K Shed, Homebush, New South Wales 2000 Australia",Sydney Markets Plaza,"(-33.85989999999998, 151.07287000000008, 0.0)",-33.85989999999998,151.07287000000008
3,3,1884,TFI Tamworth Lamb Abattoir,9300633018849,55 Phoenix St,Westdale,New South Wales,2340,#,11.08.2020,"55 Phoenix St, Westdale, New South Wales 2340 Australia","55 Phoenix St, Westdale, New South Wales, 2340","(-31.07221375269453, 150.85355586877722, 0.0)",-31.07221375269453,150.85355586877722
4,4,1892,Contingency DC Somerton 5.4,9300633018924,1 Regional Drive,Somerton,Victoria,3062,#,22.10.2015,"1 Regional Drive, Somerton, Victoria 3062 Australia","Regional Dr, Somerton, Melbourne, Victoria, 3062","(-37.63403404299062, 144.94763064878057, 0.0)",-37.63403404299062,144.94763064878057
5,5,1902,Hoppers Crossing DC,9300633019020,364-426 Old Geelong Rd,Hoppers Crossing,Victoria,3029,#,03.10.2017,"364-426 Old Geelong Rd, Hoppers Crossing, Victoria 3029 Australia","364-426 Old Geelong Rd, Hoppers Crossing, Melbourne, Victoria, 3029","(-37.870051976232816, 144.7301590185287, 0.0)",-37.870051976232816,144.7301590185287
6,6,1903,Americold Arndell Park DC,9300633019037,21 Holbeche Road,Arndell Park,New South Wales,2148,02 8811 7355,01.01.1987,"21 Holbeche Road, Arndell Park, New South Wales 2148 Australia","21 Holbeche Rd, Arndell Park, Sydney, New South Wales, 2148","(-33.786111601528766, 150.87963574141247, 0.0)",-33.786111601528766,150.87963574141247
7,7,1904,Ambient Contingency DC,9300633019044,15A Carter Street,Homebush,New South Wales,2140,#,03.10.2017,"15A Carter Street, Homebush, New South Wales 2140 Australia","15A Carter St, Lidcombe, Sydney, New South Wales, 2141","(-33.84966168266239, 151.0588019392727, 0.0)",-33.84966168266239,151.0588019392727
8,8,1907,Americold Arndell Park DC - Ch,9300633019075,21 Holbeche Road,Arndell Park,New South Wales,2148,02 9688 8283,23.03.2010,"21 Holbeche Road, Arndell Park, New South Wales 2148 Australia","21 Holbeche Rd, Arndell Park, Sydney, New South Wales, 2148","(-33.786111601528766, 150.87963574141247, 0.0)",-33.786111601528766,150.87963574141247
9,9,1908,AMERICOLD ARNDELL PARK,9300633019082,21 Holbeche Rd,Arndell Park,New South Wales,2148,#,15.03.2018,"21 Holbeche Rd, Arndell Park, New South Wales 2148 Australia","21 Holbeche Rd, Arndell Park, Sydney, New South Wales, 2148","(-33.786111601528766, 150.87963574141247, 0.0)",-33.786111601528766,150.87963574141247
