,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,142.41582782141128,50.010531264617256,154.1007047417251,2.319182854503298
1,February,120.91975202900178,44.539544735258396,128.70683261321352,2.1655867713761867
2,March,82.50356044262615,32.605862704227675,82.67514063007928,1.5136891753540203
3,April,38.81492623779276,15.660867248735727,37.16816117235826,0.7390820210329048
4,May,13.250001069315662,5.381659636419177,11.737648450270559,0.24983727653466228
5,June,6.87554022495029,1.5843136735359795,7.228300353363654,0.07476838499359384
6,July,13.931802529328031,4.874687683104642,12.68541357066624,0.2263016944554065
7,August,33.36882293030273,9.427335810490051,32.58332909802973,0.4376530778593954
8,September,61.22394265478606,17.52965171652932,62.865945331328945,0.8272754128416049
9,October,88.43418415172528,26.894547782936357,92.51086281051545,1.2485480364178119
10,November,112.55389388707547,39.877972955238704,124.8413050232257,1.8819579004370048
11,December,135.7094562736035,47.779861083842746,147.78517485597322,2.2181243655041847
