,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,295.5352828095579,48.086012831334685,298.3065783821041,2.229935449191243
1,February,319.49480602187685,57.18634331025098,331.5809875245817,2.7804951602484795
2,March,338.34213805741416,73.25353901220714,359.7860114536208,3.400710174884417
3,April,334.17935773719506,77.49643401122212,350.3876404324972,3.657282841502982
4,May,315.5872990697134,70.78757193300173,338.74767667127435,3.286230527207785
5,June,266.69328933682755,77.30891322259936,290.1843041360396,3.648433188336285
6,July,311.9799202657065,66.27932460273298,338.8724280744335,3.076940399062774
7,August,353.4522779030548,70.5671727384839,379.7642453311281,3.2759987514678013
8,September,376.1074953482582,70.13729303580018,405.64014329145317,3.309983506236604
9,October,352.98484806487374,62.86024052003942,370.95766936137284,2.918213405314885
10,November,321.1325809693302,56.10436919600367,334.7603465545183,2.6477288847146117
11,December,299.31561325426424,44.17822880850661,302.8165467617033,2.0509227846647025
