,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,197.0235218730386,32.057341887556454,198.87105225473601,1.486623632794162
1,February,212.99653734791792,38.124228873500655,221.05399168305445,1.8536634401656529
2,March,225.56142537160943,48.835692674804754,239.8573409690805,2.267140116589611
3,April,222.78623849146342,51.664289340814754,233.5917602883315,2.438188561001988
4,May,210.39153271314228,47.19171462200115,225.8317844475162,2.190820351471857
5,June,177.79552622455168,51.53927548173291,193.45620275735973,2.43228879222419
6,July,207.986613510471,44.18621640182199,225.91495204962237,2.0512935993751826
7,August,235.6348519353699,47.04478182565594,253.17616355408543,2.183999167645201
8,September,250.73833023217213,46.75819535720012,270.42676219430217,2.2066556708244027
9,October,235.3232320432492,41.90682701335962,247.3051129075819,1.9454756035432568
10,November,214.0883873128868,37.40291279733578,223.1735643696789,1.7651525898097413
11,December,199.54374216950947,29.452152539004405,201.87769784113556,1.367281856443135
