,months,energy_output_mean_Wh,standard deviation,energy_output_med_Wh,standard error
0,January,296.3322685614898,76.14309303483812,332.1997090015433,3.531051388373959
1,February,260.2783864001765,65.79291769350891,278.034605931519,3.1989611266617843
2,March,176.25788075203667,59.091569542957906,177.33669378600962,2.7432572474230867
3,April,80.18125413146576,33.2946408278378,76.80257220024585,1.5712712483779943
4,May,28.721045723682483,10.809577928052343,27.357242272001862,0.5018220572252189
5,June,15.427619321014095,3.584079347173952,15.98016923970092,0.16914316208544974
6,July,28.202941005776427,10.32146820553299,26.992612776103122,0.4791621322275343
7,August,60.87461866677977,21.86660521750802,60.2862341673217,1.0151316626623097
8,September,111.79385690625429,37.25312701834639,115.27687489481352,1.7580837618515448
9,October,173.50057797923344,57.09109024536047,182.85595846696606,2.6503873275022
10,November,222.6720340995655,74.03928643884342,237.4613577859118,3.4941299602339755
11,December,272.20005326086493,80.758643980842,295.0747748248557,3.749125926185647
