,Site - Sales Organization (Code),Site - Sales Organization (Text),Site No,Site Name,EDI Number,Street Name,Town,State,Post Code,Store Mgr,Telephone,Fax Number,Store opened,Liquor License,Address,Location,Point
0,1030,New Small Stores,1009,Knightsbridge Metro,9300633010096,159 Ridgecrop Drive,Castle Hill,New South Wales,2154,,02 8633 2964,,11.11.2020,,"159 Ridgecrop Drive, Castle Hill, New South Wales 2154 Australia","159 Ridgecrop Dr, Castle Hill, Sydney, New South Wales, 2154","(-33.71299454183923, 150.99422473972396, 0.0)"
1,1030,New Small Stores,1012,North Turramurra Metro,9300633010126,290 Bobbin Head Road,North Turramurra,New South Wales,2074,,02 9450 6741,,03.11.2021,,"290 Bobbin Head Road, North Turramurra, New South Wales 2074 Australia","290 Bobbin Head Rd, North Turramurra, Sydney, New South Wales, 2074","(-33.71277493597603, 151.1469456139705, 0.0)"
2,1030,New Small Stores,1055,Potts Point CNV,9300633010553,"Icon Building, 81 Macleay Street",Potts Point,New South Wales,2011,Suzzanne O'brien,02 9308 7391,02 9360 6239,24.06.2004,LIQP700301104,"Icon Building, 81 Macleay Street, Potts Point, New South Wales 2011 Australia","81 Macleay St, Potts Point, Sydney, New South Wales, 2011","(-33.87037634098454, 151.22496797294588, 0.0)"
3,1030,New Small Stores,1089,Hawker,9300633010898,Springvale Dr,Hawker,Aust Capital Terr,2614,Daniel Aird,02 6132 9302,02 6254 0299,28.11.2013,14002610,"Springvale Dr, Hawker, Aust Capital Terr 2614 Australia","Springvale Dr, Page, Canberra, Australian Capital Territory, 2614","(-35.2426758511076, 149.04557238354886, 0.0)"
4,1030,New Small Stores,1130,Park Sydney Metro,9300633011307,57 Ashmore St,Erskineville,New South Wales,2043,,02 8736 7479,,04.11.2020,,"57 Ashmore St, Erskineville, New South Wales 2043 Australia","57 Ashmore St, Erskineville, Sydney, New South Wales, 2043","(-33.90313323768933, 151.1891375999847, 0.0)"
5,1030,New Small Stores,1166,Chatswood Rail Interchange CNV,9300633011666,Shop 55 Chatswood Rail Interchange,Chatswood,New South Wales,2057,,(02) 8565 9350,(02) 9410 1558,02.12.2014,LIQP724008907,"Shop 55 Chatswood Rail Interchange, Chatswood, New South Wales 2057 Australia",Chatswood Interchange,"(-33.79715999999996, 151.18155000000002, 0.0)"
6,1030,New Small Stores,1211,Pitt Street Mall CNV,9300633012113,400 George Street,Sydney,New South Wales,2000,,02 9308 7388,,20.06.2018,,"400 George Street, Sydney, New South Wales 2000 Australia","400 George St, Sydney, New South Wales, 2000","(-33.86911377490922, 151.20763310753165, 0.0)"
7,1030,New Small Stores,1240,Cronulla CNV,9300633012403,84-86 Cronulla Street,Cronulla,New South Wales,2230,Luke Weller,02 8522 7715,02 9523 0229,11.03.2010,,"84-86 Cronulla Street, Cronulla, New South Wales 2230 Australia","84-86 Cronulla St, Cronulla, Sydney, New South Wales, 2230","(-34.05394324755945, 151.15261194815514, 0.0)"
8,1030,New Small Stores,1256,Surry Hills CNV,9300633012564,413-417 Bourke Street,Surry Hills,New South Wales,2010,Con Retsas,02 8565 9212,02 9326 0911,23.06.2006,,"413-417 Bourke Street, Surry Hills, New South Wales 2010 Australia","417 Bourke St, Surry Hills, Sydney, New South Wales, 2010","(-33.882332497221576, 151.2161088042036, 0.0)"
9,1030,New Small Stores,1265,York Street CNV,9300633012656,Unit 1 65 York St,Sydney,New South Wales,2000,,02 8565 9327,02 9262 3107,21.06.2016,,"Unit 1 65 York St, Sydney, New South Wales 2000 Australia","65 York St, Se 1, Sydney, New South Wales, 2000","(-33.86796050885132, 151.20571080185738, 0.0)"
10,1030,New Small Stores,1270,Kings Cross CNV,9300633012700,Lvl 1  111 - 139 Darlinghurst Rd,Potts Point,New South Wales,2011,,02 8565 9381,,24.10.2018,,"Lvl 1  111 - 139 Darlinghurst Rd, Potts Point, New South Wales 2011 Australia","111 Darlinghurst Rd, Shop 1, Potts Point, Sydney, New South Wales, 2011","(-33.87461548851552, 151.22240260766, 0.0)"
11,1030,New Small Stores,1289,North Strathfield CNV,9300633012892,145 Concord Road,North Strathfield,New South Wales,2137,Pat Rose,02 8565 9218,02 9764 6376,06.06.1999,,"145 Concord Road, North Strathfield, New South Wales 2137 Australia","145 Concord Rd, North Strathfield, Sydney, New South Wales, 2137","(-33.85889254690096, 151.0927474736668, 0.0)"
12,1030,New Small Stores,1319,Padstow CNV,9300633013196,5 Faraday Road,Padstow,New South Wales,2211,Grant Cruickshank,02 8709 4318,02 9773 7956,20.04.1998,,"5 Faraday Road, Padstow, New South Wales 2211 Australia","5 Faraday Rd, Padstow, Sydney, New South Wales, 2211","(-33.953874555394925, 151.03431873537335, 0.0)"
13,1030,New Small Stores,1324,Erskineville Metro,9300633013240,21-23 Erskineville Road,Newtown,New South Wales,2042,,02 8565 9297,02 9519 3511,19.06.2013,,"21-23 Erskineville Road, Newtown, New South Wales 2042 Australia","21-23 Erskineville Rd, Newtown, Sydney, New South Wales, 2042","(-33.89849737468106, 151.18184232673696, 0.0)"
14,1030,New Small Stores,1329,Paddington Metro,9300633013295,220 Glenmore Road,Paddington,New South Wales,2021,,02 8565 9369,02 X,23.06.2017,,"220 Glenmore Road, Paddington, New South Wales 2021 Australia","220 Glenmore Rd, Paddington, Sydney, New South Wales, 2021","(-33.88194462465213, 151.2277929257731, 0.0)"
15,1030,New Small Stores,1360,Boronia Park,9300633013608,130 Pittwater Road,Boronia Park,New South Wales,2111,Ben Christie,02 9308 7349,02 9816 4670,02.08.1999,LIQP700382740,"130 Pittwater Road, Boronia Park, New South Wales 2111 Australia","130 Pittwater Rd, Gladesville, Sydney, New South Wales, 2111","(-33.82210856481554, 151.13373405818538, 0.0)"
16,1030,New Small Stores,1370,Bexley North CNV,9300633013707,216 Sarsfield Circuit,Bexley North,New South Wales,2207,Josephine Bonanno,02 8565 9263,02 9150 4874,21.09.1999,,"216 Sarsfield Circuit, Bexley North, New South Wales 2207 Australia","Sarsfield Cirt, Bexley North, Sydney, New South Wales, 2207","(-33.9386546763281, 151.11564251714861, 0.0)"
17,1030,New Small Stores,1376,Maroubra CNV,9300633013769,"Maroubra S/village, 3 Meagher Ave",Maroubra South,New South Wales,2035,Sue Burgess,02 8565 9227,02 9311 0360,14.09.1999,,"Maroubra S/village, 3 Meagher Ave, Maroubra South, New South Wales 2035 Australia","3 Meagher Av, Maroubra, Sydney, New South Wales, 2035","(-33.951499207854035, 151.2495591357581, 0.0)"
18,1030,New Small Stores,1379,Pendle Hill CNV,9300633013790,109 Pendle Way,Pendle Hill,New South Wales,2145,Doris Cortis,02 8633 2928,02 9631 6147,12.10.1999,,"109 Pendle Way, Pendle Hill, New South Wales 2145 Australia","109 Pendle Way, Pendle Hill, Sydney, New South Wales, 2145","(-33.80275831269229, 150.95566488381274, 0.0)"
19,1030,New Small Stores,1384,West Pennant Hills Metro,9300633013844,"Shop 12, 35 Coonara Avenue",West Pennant Hills,New South Wales,2120,Neville Goosen,02 8633 2931,02 9680 7874,30.08.1999,LIQP724007019,"Shop 12, 35 Coonara Avenue, West Pennant Hills, New South Wales 2120 Australia","35 Coonara Av, Shop 12, West Pennant Hills, Sydney, New South Wales, 2125","(-33.745014333978766, 151.03049499496376, 0.0)"
20,1030,New Small Stores,1385,Cameron Ave Metro,9300633013851,Cameron Avenue,Belconnen,Aust Capital Terr,2617,,02 6132 9328,,27.05.2020,,"Cameron Avenue, Belconnen, Aust Capital Terr 2617 Australia","Cameron Ave, Belconnen, Canberra, Australian Capital Territory, 2617","(-35.24113658925188, 149.0690456661896, 0.0)"
21,1030,New Small Stores,1449,Pyrmont Metro,9300633014490,63 Miller Street,Pyrmont,New South Wales,2009,,02 8736 7447,02 9552 1165,25.09.2019,,"63 Miller Street, Pyrmont, New South Wales 2009 Australia","63 Miller St, Pyrmont, Sydney, New South Wales, 2009","(-33.870551313213326, 151.19299679584475, 0.0)"
22,1030,New Small Stores,1457,Bonner,9300633014575,61 MABO BOULEVARD,BONNER,Aust Capital Terr,2914,Terry Fitzsimmons,02 6132 9863,(02) 6255 6269,23.02.2012,14005617,"61 MABO BOULEVARD, BONNER, Aust Capital Terr 2914 Australia","61 Mabo Bvd, Bonner, Canberra, Australian Capital Territory, 2914","(-35.16150438001449, 149.13934728556285, 0.0)"
23,1030,New Small Stores,1474,Redfern,9300633014742,261 - 265 Chalmers St,Redfern,New South Wales,2016,Martin Penhall,02 8565 9278,02 9698 5442,08.11.2010,,"261 - 265 Chalmers St, Redfern, New South Wales 2016 Australia","261-265 Chalmers St, Redfern, Sydney, New South Wales, 2016","(-33.8947553159179, 151.20466172285597, 0.0)"
24,1030,New Small Stores,1486,Woolloomooloo CNV,9300633014865,"Cnr Crown Kennedy,suttor and Riley St",East Sydney,New South Wales,2011,,02 8565 9321,02 9360 3925,28.06.2013,,"Cnr Crown Kennedy,suttor and Riley St, East Sydney, New South Wales 2011 Australia","Suttor St & Riley St, Woolloomooloo, Sydney, New South Wales, 2011","(-33.87380001315558, 151.21550002657597, 0.0)"
25,1030,New Small Stores,1527,Double Bay Metro,9300633015275,1 Kiaora Rd,Double Bay,New South Wales,2028,,02 8565 9387,,09.07.2020,,"1 Kiaora Rd, Double Bay, New South Wales 2028 Australia","1 Kiaora Rd, Double Bay, Sydney, New South Wales, 2028","(-33.87837322143762, 151.24404124507868, 0.0)"
26,1030,New Small Stores,1545,Bondi Beach CNV,9300633015459,180-186 Campbell Parade,Bondi Beach,New South Wales,2026,,02 8565 9324,02 9365 0797,04.11.2015,,"180-186 Campbell Parade, Bondi Beach, New South Wales 2026 Australia","180-186 Campbell Pde, Bondi Beach, Sydney, New South Wales, 2026","(-33.889145685308215, 151.27583221126156, 0.0)"
27,1030,New Small Stores,1550,Sydney CBD Met Centre CNV,9300633015503,Cnr George and Jamison Streets,Sydney,New South Wales,2000,Justin Riley,02 8565 9236,02 9241 3170,16.06.2010,,"Cnr George and Jamison Streets, Sydney, New South Wales 2000 Australia","George St & Jamison St, Sydney, New South Wales, 2000","(-33.864369994897565, 151.20736999959098, 0.0)"
28,1030,New Small Stores,1577,Rozelle,9300633015770,605 Darling Street,Rozelle,New South Wales,2039,,02 8736 7475,02 X,08.05.2019,,"605 Darling Street, Rozelle, New South Wales 2039 Australia","605 Darling St, Rozelle, Sydney, New South Wales, 2039","(-33.86113516700507, 151.1712516244367, 0.0)"
29,1030,New Small Stores,1590,Illawarra Road Metro,9300633015909,258 Illawarra Road,Marrickville,New South Wales,2204,,02 8736 7458,,24.06.2020,,"258 Illawarra Road, Marrickville, New South Wales 2204 Australia","258 Illawarra Rd, Marrickville, Sydney, New South Wales, 2204","(-33.911333756480055, 151.15514445638058, 0.0)"
30,1030,New Small Stores,1611,Cowper St Metro,9300633016111,East Street,Granville,New South Wales,2142,,02 8633 2967,,02.06.2021,,"East Street, Granville, New South Wales 2142 Australia","East St, Granville, Sydney, New South Wales, 2142","(-33.832950216489536, 151.01361795594195, 0.0)"
31,1030,New Small Stores,1631,Randwick,9300633016319,"Cnr Belmore Rd, Avoca St and Short St",Randwick,New South Wales,2031,Justin Evans,02 8565 9248,02 9399 7026,26.09.2001,,"Cnr Belmore Rd, Avoca St and Short St, Randwick, New South Wales 2031 Australia","Avoca St & Short St, Randwick, Sydney, New South Wales, 2031","(-33.915900007782454, 151.24143003078245, 0.0)"
32,1030,New Small Stores,1638,Green Square Town Centre,9300633016388,20 - 26 Ebsworth St,Green Square,New South Wales,2017,,(02) 8565 9365,(02) 9699 4138,30.05.2017,LIQP770017040,"20 - 26 Ebsworth St, Green Square, New South Wales 2017 Australia","20-26 Ebsworth St, Zetland, Sydney, New South Wales, 2017","(-33.90609288770058, 151.20470321327667, 0.0)"
33,1030,New Small Stores,1661,Franklin,9300633016616,51 Nullarbor Avenue,Franklin,Aust Capital Terr,2913,,02 6132 9305,02 X,24.06.2016,14005674,"51 Nullarbor Avenue, Franklin, Aust Capital Terr 2913 Australia","51 Nullarbor Av, Franklin, Canberra, Australian Capital Territory, 2913","(-35.19984706081443, 149.14891933517015, 0.0)"
34,1030,New Small Stores,1665,Parramatta CNV,9300633016654,"Shop 1156, L1 Westfield Parramatta",Parramatta,New South Wales,2150,Andy Robbins,02 8633 2950,02 8633 2950,14.12.2016,,"Shop 1156, L1 Westfield Parramatta, Parramatta, New South Wales 2150 Australia",Westfield,"(-33.81703999999996, 151.00345000000004, 0.0)"
35,1030,New Small Stores,1669,Central Station CNV,9300633016692,302-306 Elizabeth Street,Surry Hills,New South Wales,2010,,02 8736 7401,02 X,10.12.2014,,"302-306 Elizabeth Street, Surry Hills, New South Wales 2010 Australia","302-306 Elizabeth St, Surry Hills, Sydney, New South Wales, 2010","(-33.883734454346694, 151.2085808493237, 0.0)"
36,1030,New Small Stores,1703,Jannali Metro,9300633017033,541 Box Road,Jannali,New South Wales,2226,,02 9535 8504,,20.05.2020,,"541 Box Road, Jannali, New South Wales 2226 Australia","541 Box Rd, Jannali, Sydney, New South Wales, 2226","(-34.016020961113284, 151.06603795246502, 0.0)"
37,1030,New Small Stores,1716,Haymarket CNV,9300633017163,61 - 79 Quay St,Haymarket,New South Wales,2000,,(02) 8736 7467,(02) 9280 1958,10.09.2014,LIQP700352124,"61 - 79 Quay St, Haymarket, New South Wales 2000 Australia","61-79 Quay St, Haymarket, Sydney, New South Wales, 2000","(-33.881357430425176, 151.20247312411783, 0.0)"
38,1030,New Small Stores,1755,Coogee CNV,9300633017552,Cnr Coogee Bay Road and Brook Street,Coogee,New South Wales,2034,Chris Leonard,02 8565 9257,02 9664 8016,10.07.1998,,"Cnr Coogee Bay Road and Brook Street, Coogee, New South Wales 2034 Australia","Coogee Bay Rd & Brook St, Coogee, Sydney, New South Wales, 2034","(-33.920489979870844, 151.25440002011806, 0.0)"
39,1030,New Small Stores,1756,Rosebery Metro,9300633017569,1 Crewe Place,Rosebery,New South Wales,2018,,02 8736 7453,,19.02.2020,,"1 Crewe Place, Rosebery, New South Wales 2018 Australia","1 Crewe Pl, Rosebery, Sydney, New South Wales, 2018","(-33.91382963578861, 151.20562782101598, 0.0)"
40,1030,New Small Stores,1798,Bronte Metro,9300633017989,113 Macpherson Street,Bronte,New South Wales,2024,,02 8736 7439,X,05.05.2021,,"113 Macpherson Street, Bronte, New South Wales 2024 Australia","113 Macpherson St, Bronte, Sydney, New South Wales, 2024","(-33.90628479137378, 151.26248746703493, 0.0)"
41,1030,New Small Stores,1816,North Sydney CNV,9300633018160,100 Miller Street,North Sydney,New South Wales,2060,Mark Andrews,02 9305 1097,02 X,19.03.2018,,"100 Miller Street, North Sydney, New South Wales 2060 Australia","100 Miller St, North Sydney, Sydney, New South Wales, 2060","(-33.8378225377937, 151.20662979372156, 0.0)"
42,1030,New Small Stores,1845,Kirribilli Metro,9300633018450,23 Broughton Street,Kirribilli,New South Wales,2061,,02 X,,09.01.2019,,"23 Broughton Street, Kirribilli, New South Wales 2061 Australia","23 Broughton St, Kirribilli, Sydney, New South Wales, 2061","(-33.84612623781251, 151.21290398352448, 0.0)"
43,1030,New Small Stores,1901,Rose Bay CNV,9300633019013,757 New South Head Road,Rose Bay,New South Wales,2029,,02 8565 9315,02 9371 0000,11.12.2014,,"757 New South Head Road, Rose Bay, New South Wales 2029 Australia","757 New South Head Rd, Rose Bay, Sydney, New South Wales, 2029","(-33.870865466944345, 151.2684861436805, 0.0)"
44,1030,New Small Stores,1905,Central Park Supermarket,9300633019051,26-98 Broadway,Chippendale,New South Wales,2000,,02 8736 7450,(02) 9212 3467,31.10.2013,,"26-98 Broadway, Chippendale, New South Wales 2000 Australia","98 Broadway, Chippendale, Sydney, New South Wales, 2008","(-33.88488629548107, 151.1990634497251, 0.0)"
45,1030,New Small Stores,2042,Southpoint CNV,9300633020422,217 Grey Street,Southbank,Queensland,4101,,07 3513 4419,(07) 3255 1354,31.01.2017,,"217 Grey Street, Southbank, Queensland 4101 Australia","217 Grey St, South Brisbane, Brisbane, Queensland, 4101","(-27.480639050763383, 153.022850042802, 0.0)"
46,1030,New Small Stores,2115,Hamilton Harbour CNV,9300633021153,Lot 485 Kingsford Smith Drive,HAMILTON,Queensland,4007,,07 3648 4390,07 3868 4365,08.05.2013,,"Lot 485 Kingsford Smith Drive, HAMILTON, Queensland 4007 Australia","485 Kingsford Smith Dr, Hamilton, Brisbane, Queensland, 4007","(-27.439534593112548, 153.06311414254043, 0.0)"
47,1030,New Small Stores,2241,Fish Lane Metro,9300633022419,49 Melbourne Street,South Brisbane,Queensland,4101,,07 3513 4455,,30.09.2020,,"49 Melbourne Street, South Brisbane, Queensland 4101 Australia","49 Melbourne St, South Brisbane, Brisbane, Queensland, 4101","(-27.473911753610665, 153.0179169089617, 0.0)"
48,1030,New Small Stores,2338,Tank Street Metro,9300633023386,414 George street,BRISBANE,Queensland,4000,,07 3513 4444,,28.10.2019,,"414 George street, BRISBANE, Queensland 4000 Australia","414 George St, Brisbane City, Brisbane, Queensland, 4000","(-27.468351115225047, 153.0204691146596, 0.0)"
49,1030,New Small Stores,2480,Burleigh Heads North CNV,9300633024802,15-17 Park Avenue,Burleigh Heads North,Queensland,4220,Donna Marshall,07 5507 3522,07 5576 1572,04.03.2014,,"15-17 Park Avenue, Burleigh Heads North, Queensland 4220 Australia","15 Park Av, Burleigh Heads, Gold Coast, Queensland, 4220","(-28.089826320339846, 153.45048421688864, 0.0)"
50,1030,New Small Stores,2503,Broadwater CNV,9300633025038,48 Brighton Ave,Southport,Queensland,4215,Possible Delete,07 5558 3267,07 5591 2528,24.05.2016,,"48 Brighton Ave, Southport, Queensland 4215 Australia","48 Brighton Pde, Southport, Gold Coast, Queensland, 4215","(-27.977284559969455, 153.41754350504726, 0.0)"
51,1030,New Small Stores,2718,Kelvin Grove CNV,9300633027186,57 Musk Ave,Kelvin Grove,Queensland,4059,Daniel Bolton,07 3648 4384,07 3831 3047,20.12.2007,,"57 Musk Ave, Kelvin Grove, Queensland 4059 Australia","57 Musk Av, Kelvin Grove, Brisbane, Queensland, 4059","(-27.453839232890793, 153.01458786847752, 0.0)"
52,1030,New Small Stores,2719,Teneriffe Metro,9300633027193,105-109 Commercial Rd,Teneriffe,Queensland,4005,,07 3513 4441,,13.11.2019,,"105-109 Commercial Rd, Teneriffe, Queensland 4005 Australia","109 Commercial Rd, Unit 105, Teneriffe, Brisbane, Queensland, 4005","(-27.454187920062893, 153.04706975493912, 0.0)"
53,1030,New Small Stores,2754,255 Ann Street,9300633027544,255 Ann Street,Brisbane,Queensland,4000,,07 3513 4438,07 3220 3750,18.11.2019,,"255 Ann Street, Brisbane, Queensland 4000 Australia","255 Ann St, Brisbane City, Brisbane, Queensland, 4000","(-27.466786171992673, 153.02608054737846, 0.0)"
54,1030,New Small Stores,2885,Fortitude Valley Metro,9300633028855,Fortitude Valley train station,Fortitude Valley,Queensland,4006,,07 3513 4449,,14.04.2021,,"Fortitude Valley train station, Fortitude Valley, Queensland 4006 Australia","Fortitude St, Fortitude Valley, Brisbane, Queensland, 4006","(-27.455674745527432, 153.039889397348, 0.0)"
55,1030,New Small Stores,3028,Queens Place Metro,9300633030285,350 Queen Street,Melbourne,Victoria,3000,,03 9258 8439,,09.03.2022,,"350 Queen Street, Melbourne, Victoria 3000 Australia","350 Queen St, Melbourne, Victoria, 3000","(-37.81043703100199, 144.9588987254346, 0.0)"
56,1030,New Small Stores,3089,Sthn Cross Station CNV,9300633030896,"CNR COLLINS AND SPENCER STREETS,",DOCKLANDS,Victoria,3008,Branden Petherick,03 8347 6634,03 9600 1232,29.08.2012,,"CNR COLLINS AND SPENCER STREETS,, DOCKLANDS, Victoria 3008 Australia","Collins St & Spencer St, Docklands, Melbourne, Victoria, 3008","(-37.819090004926124, 144.95404996208572, 0.0)"
57,1030,New Small Stores,3094,Ascot Vale East Metro,9300633030940,327-357 Mt Alexander Road,Ascot Vale,Victoria,3032,,03 9258 8435,,11.11.2020,,"327-357 Mt Alexander Road, Ascot Vale, Victoria 3032 Australia","357 Mt Alexander Rd, Ascot Vale, Melbourne, Victoria, 3032","(-37.77580610838523, 144.92836185960488, 0.0)"
58,1030,New Small Stores,3115,Balaclava,9300633031152,220 Carlisle Street,Balaclava,Victoria,3183,Simon Lloyd,03 8347 5858,03 9537 2344,20.11.2000,32006866,"220 Carlisle Street, Balaclava, Victoria 3183 Australia","220 Carlisle St, Balaclava, Melbourne, Victoria, 3183","(-37.86834110406616, 144.99139284947483, 0.0)"
59,1030,New Small Stores,3157,Hadfield,9300633031572,"Cnr West and Geum Streets,",Hadfield,Victoria,3046,Wayne Stinten,03 8347 5882,03 9306 0917,06.10.1975,32059403,"Cnr West and Geum Streets,, Hadfield, Victoria 3046 Australia","West St & Geum St, Hadfield, Melbourne, Victoria, 3046","(-37.70724000302481, 144.93840002684777, 0.0)"
60,1030,New Small Stores,3307,Hawthorn,9300633033071,Cnr Glenferrie Road and Wakefield St,Hawthorn,Victoria,3122,Neil Esen,03 8347 6530,03 9818 7086,06.06.2004,32024505,"Cnr Glenferrie Road and Wakefield St, Hawthorn, Victoria 3122 Australia","Glenferrie Rd & Wakefield St, Hawthorn, Melbourne, Victoria, 3122","(-37.820450010625855, 145.03576002318215, 0.0)"
61,1030,New Small Stores,3398,Smith St Metro,9300633033989,365-379 Smith Street,Fitzroy,Victoria,3006,,03 9258 8453,,26.07.2022,,"365-379 Smith Street, Fitzroy, Victoria 3006 Australia","365 Smith St, Fitzroy, Melbourne, Victoria, 3065","(-37.798025066870274, 144.98417971887818, 0.0)"
62,1030,New Small Stores,3403,Hawksburn,9300633034030,569 Malvern Road,Toorak,Victoria,3142,Phil Clarke,03 8347 6557,03 9826 3140,24.09.1998,32000721,"569 Malvern Road, Toorak, Victoria 3142 Australia","569 Malvern Rd, Toorak, Melbourne, Victoria, 3142","(-37.84832236963878, 145.0054029784736, 0.0)"
63,1030,New Small Stores,3411,Brunswick North CNV,9300633034115,808 Sydney Road,Brunswick,Victoria,3056,,03 X,03 X,30.05.2018,,"808 Sydney Road, Brunswick, Victoria 3056 Australia","808 Sydney Rd, Brunswick, Melbourne, Victoria, 3056","(-37.75791418168597, 144.9639113549906, 0.0)"
64,1030,New Small Stores,3427,Abbotsford Metro,9300633034276,247 Johnston Street,Abbotsford,Victoria,3067,,03 9258 8405,,11.12.2019,,"247 Johnston Street, Abbotsford, Victoria 3067 Australia","247 Johnston St, Abbotsford, Melbourne, Victoria, 3067","(-37.80017527649187, 144.99464133986953, 0.0)"
65,1030,New Small Stores,3431,Yarraville Metro,9300633034313,6 Anderson Street,Yarraville,Victoria,3013,,03 9258 8417,,25.03.2020,,"6 Anderson Street, Yarraville, Victoria 3013 Australia","6 Anderson St, Yarraville, Melbourne, Victoria, 3013","(-37.81664500376985, 144.89168097492853, 0.0)"
66,1030,New Small Stores,3438,Exhibition Street Metro,9300633034382,222 Exhibition Street,Melbourne,Victoria,3000,,03 9258 8423,,24.02.2021,,"222 Exhibition Street, Melbourne, Victoria 3000 Australia","222 Exhibition St, Melbourne, Victoria, 3000","(-37.81072650002815, 144.97023751259326, 0.0)"
67,1030,New Small Stores,3450,Literature Lane CNV,9300633034504,388 Elizabeth St,Melbourne,Victoria,3000,,03 9624 6200,03 X,11.01.2017,,"388 Elizabeth St, Melbourne, Victoria 3000 Australia","388 Elizabeth St, Melbourne, Victoria, 3000","(-37.80960789313987, 144.96130609184564, 0.0)"
